,strat1_ret,strat2_ret,volFactor1,volFactor2,rb1,rb2,fundVolFactor,scaledRBRet,scaledRBProf
2000-05-25,0.6500237840294952,0.5430277408618368,,,1.0,3.0,,,
2000-05-26,0.9650774759881732,0.44053917911590845,,,1.0,3.0,,,
2000-05-29,0.24554984243354894,0.02778913215990464,,,1.0,3.0,,,
2000-05-30,0.7294561241657332,0.13167653575100025,,,1.0,3.0,,,
2000-05-31,0.33327504181763024,0.06500097234200863,,,1.0,3.0,,,
2000-06-01,0.37521035127296276,0.09672584836407216,,,1.0,3.0,,,
2000-06-02,0.44986792223665906,0.5777065065652661,,,1.0,3.0,,,
2000-06-05,0.8427733447355743,0.36557689434980034,,,1.0,3.0,,,
2000-06-06,0.2894864355051986,0.379525930770802,,,1.0,3.0,,,
2000-06-07,0.6849471828968625,0.5054596817768197,,,1.0,3.0,,,
2000-06-08,0.8512915404895705,0.7610977363688968,,,1.0,3.0,,,
2000-06-09,0.20486052694498236,0.0752792120967416,,,1.0,3.0,,,
2000-06-12,0.9788777922350107,0.7020209396816888,,,1.0,3.0,,,
2000-06-13,0.11273641347072239,0.9844479895205511,,,1.0,3.0,,,
2000-06-14,0.5036425475503867,0.052576188879473795,,,1.0,3.0,,,
2000-06-15,0.5827113614989466,0.41479195659050594,,,1.0,3.0,,,
2000-06-16,0.3926931406676183,0.01727272531182844,,,1.0,3.0,,,
2000-06-19,0.8158052327896361,0.9371331250775411,,,1.0,3.0,,,
2000-06-20,0.7231048682513398,0.12238303294629305,,,1.0,3.0,,,
2000-06-21,0.4617039357137769,0.6489988637092596,,,1.0,3.0,,,
2000-06-22,0.45708606951825637,0.6241709486371511,,,1.0,3.0,,,
2000-06-23,0.5175768190503419,0.1933226798911324,,,1.0,3.0,,,
2000-06-26,0.6510400016320029,0.4397857731776691,,,1.0,3.0,,,
2000-06-27,0.3701745029538629,0.12393211115936964,,,1.0,3.0,,,
2000-06-28,0.20083476895972585,0.9283977606273006,,,1.0,3.0,,,
2000-06-29,0.3587081287201159,0.39143098440621626,,,1.0,3.0,,,
2000-06-30,0.6089529658169998,0.7211176905174348,,,1.0,3.0,,,
2000-07-03,0.698054577330816,0.12024253194369527,,,1.0,3.0,,,
2000-07-04,0.6433615744122053,0.8247332860295468,,,1.0,3.0,,,
2000-07-05,0.73664726467586,0.16657217770061472,,,1.0,3.0,,,
2000-07-06,0.2655983362319444,0.9831339406428157,,,1.0,3.0,,,
2000-07-07,0.33175204304817263,0.5425120629756701,,,1.0,3.0,,,
2000-07-10,0.08873803419263016,0.6756499739906906,,,1.0,3.0,,,
2000-07-11,0.8978108204605194,0.04010323433090479,,,1.0,3.0,,,
2000-07-12,0.13815591750020761,0.6815800459790072,,,1.0,3.0,,,
2000-07-13,0.605370995242751,0.042693284778339335,,,1.0,3.0,,,
2000-07-14,0.45444019091549215,0.9874233146141624,,,1.0,3.0,,,
2000-07-17,0.045481568465384314,0.8195434125611254,,,1.0,3.0,,,
2000-07-18,0.24949666780289148,0.7433394398897462,,,1.0,3.0,,,
2000-07-19,0.6926271662901372,0.33559454577637005,0.010161126572779724,0.007706543367383857,1.0,3.0,0.33989442837503936,,
2000-07-20,0.18873588261142438,0.837693354917028,0.01010733681278794,0.007961591326537468,1.0,3.0,0.33973748981480345,0.007234629012280433,
2000-07-21,0.6463122926049456,0.16602913522095397,0.009977452872871004,0.007826736241033963,1.0,3.0,0.3438253209116589,0.0035665860459424504,
2000-07-24,0.9061265820667641,0.7174023803389262,0.009976154663595135,0.007843127159735345,1.0,3.0,0.3437536844007612,0.008900122285224184,
2000-07-25,0.5051374471007245,0.1063561641668227,0.009718759274510205,0.0077887280369762085,1.0,3.0,0.339803648506903,0.002592529807038655,
2000-07-26,0.01925511671485103,0.481527092570216,0.010121216361955421,0.007679012248657908,1.0,3.0,0.3401437608977996,0.003886873441260279,
2000-07-27,0.31621658566218,0.18031423096230903,0.009810737629749652,0.007846098829296983,1.0,3.0,0.34399875886691605,0.002501553970817791,
2000-07-28,0.49960921390156765,0.26883259349550437,0.009866742013826424,0.007874192091420314,1.0,3.0,0.339712120797442,0.0038628983577919176,
2000-07-31,0.1311962092341592,0.20246428160871532,0.009907757077712612,0.00799213052106043,1.0,3.0,0.34238138318099726,0.002064500907309702,
2000-08-01,0.5426734731525527,0.16986923199210513,0.009705595128629441,0.008059901252247124,1.0,3.0,0.34017668464248585,0.0032353425236410424,
2000-08-02,0.2604103852418641,0.7171526744753591,0.009700338065774944,0.007983138923984917,1.0,3.0,0.3404831644218109,0.00675862254084002,
2000-08-03,0.16019687452048825,0.6709464762237022,0.009862124532076608,0.007933234590882523,1.0,3.0,0.3412564800357606,0.006000246495720496,
2000-08-04,0.5947582249220067,0.003640463270014549,0.009749285015436352,0.007905693645767535,1.0,3.0,0.3435733092010638,0.002031234201191035,
2000-08-07,0.20379341433434728,0.5523959349222336,0.009806493403837612,0.007705313862103975,1.0,3.0,0.3454510928126182,0.005183854421413781,
2000-08-08,0.9342769450833663,0.6925558596498891,0.009982620030028602,0.007776715900942074,1.0,3.0,0.351407648721058,0.008695370701130575,
2000-08-09,0.4777897521353772,0.7769869670025443,0.00967885585887415,0.007874076565292388,1.0,3.0,0.3504548315532628,0.008046115659902018,
2000-08-10,0.9687907477453648,0.053806389706302915,0.01018799091139967,0.007837545515813922,1.0,3.0,0.3565605566502536,0.0037315774768361416,
2000-08-11,0.5273227081824329,0.14438235614477535,0.009925800077253235,0.007927658675646189,1.0,3.0,0.3570973979831382,0.0031260265955020345,
2000-08-14,0.6615878947286509,0.0331037332842421,0.009922007658606463,0.007991537667618957,1.0,3.0,0.35762036851060763,0.002626128000369375,
2000-08-15,0.38103122674403056,0.5719657701717389,0.009878462479306366,0.007824595176364415,1.0,3.0,0.3594864488846713,0.006255943491567925,
2000-08-16,0.46474214170900374,0.8324246451745414,0.009874665030811868,0.007995030264637585,1.0,3.0,0.3624644890021018,0.008674801792821641,
2000-08-17,0.29676873430731276,0.35158949487996405,0.01010274806040762,0.008083456496083448,1.0,3.0,0.37185606014497846,0.004118828176826526,
2000-08-18,0.9989421419614776,0.6461014788201077,0.01018594409130334,0.008190722435610715,1.0,3.0,0.3681276328059833,0.009579108931524876,
2000-08-21,0.7904891289991803,0.39507549886556514,0.009647863581053472,0.008191834153821655,1.0,3.0,0.36091668341116306,0.006537850798702457,
2000-08-22,0.27721521233652735,0.8038512554099629,0.009478929109923527,0.008214457188153036,1.0,3.0,0.36097509984369786,0.008095210727297976,
2000-08-23,0.7080674661339539,0.04198408828964706,0.00941920499849068,0.008174461972331418,1.0,3.0,0.36265053956163756,0.002796239754914004,
2000-08-24,0.06544602028998625,0.007862106452541595,0.00938141503144021,0.007989575813856791,1.0,3.0,0.3651585712194108,0.0002934767450230544,
2000-08-25,0.952505016049468,0.08633181645504406,0.009147726349200568,0.007900555713979244,1.0,3.0,0.35748071935603587,0.00401860975192978,
2000-08-28,0.21368159267066056,0.05162057245133678,0.00892942537312204,0.007989387024156353,1.0,3.0,0.3585682193570847,0.001136143206613188,
2000-08-29,0.5627553803778818,0.5089896460440105,0.008852958553943168,0.007848730175240771,1.0,3.0,0.3539437004163279,0.006176204188541456,
2000-08-30,0.9760703995439751,0.712471661096038,0.008866120503843208,0.007921877405638947,1.0,3.0,0.3554694059218957,0.008996223938922,
2000-08-31,0.8807474135076996,0.010315084145431253,0.00861306834824987,0.007944744397891244,1.0,3.0,0.34759280756252003,0.002862935380384789,
2000-09-01,0.7176589421678783,0.11818482298458877,0.008457745503394643,0.007919265901701417,1.0,3.0,0.3543048089887891,0.003127671418145063,
2000-09-04,0.9125604690289182,0.5723380994646031,0.0084681999780977,0.007893433871871221,1.0,3.0,0.3544278984123651,0.007552253950330863,
2000-09-05,0.34834840341597584,0.7163421552488421,0.008334249900637603,0.008188279751162009,1.0,3.0,0.34873158091701534,0.007057751888686026,
2000-09-06,0.6828085496193502,0.5729097753625723,0.00834038405353994,0.008110884800627152,1.0,3.0,0.3492648718224136,0.006892377564624129,
2000-09-07,0.8132900940224962,0.7769147047066298,0.008514597591202126,0.008155078051952373,1.0,3.0,0.3456514093912286,0.00897175841826647,
2000-09-08,0.9710049170230134,0.7908047394006418,0.008582779237592058,0.008178465181557947,1.0,3.0,0.33810072028488936,0.009545142671506803,
2000-09-11,0.08258573476868769,0.6644536398835965,0.008530142608237512,0.008109918228776675,1.0,3.0,0.3304240944781193,0.005751582823693143,
2000-09-12,0.275569599079316,0.6597869231223372,0.008305002838058257,0.008225578243538315,1.0,3.0,0.3322563266183057,0.006080828301863566,
2000-09-13,0.34460084361736043,0.20701305502663914,0.008243253650547162,0.008503596368485895,1.0,3.0,0.3330464149795678,0.002648188324458907,
2000-09-14,0.2508491257873098,0.2257269188303026,0.00846426196380743,0.008619528808496346,1.0,3.0,0.32693938149045104,0.002606516093113397,
2000-09-15,0.9953929867344897,0.6758941291957355,0.008465139502564943,0.00870118374545892,1.0,3.0,0.3229065028420026,0.008468689139322413,
2000-09-18,0.9415504467730573,0.13991477151371756,0.008253428099793804,0.00862759497809944,1.0,3.0,0.3193038978818605,0.0037530222541719404,
2000-09-19,0.5001239381719249,0.11716666648784235,0.0082206315312603,0.00875762499806118,1.0,3.0,0.3182084501477135,0.0022863233848853044,
2000-09-20,0.2927425457625511,0.818603314692027,0.008227236490520616,0.008724472929414195,1.0,3.0,0.31723938365722687,0.007609506780160301,
2000-09-21,0.8300443413835582,0.7462446198157223,0.008302263128053072,0.008632660437942924,1.0,3.0,0.3229527642023312,0.008362666194244976,
2000-09-22,0.3247079710938833,0.052305186394099645,0.008212326397377031,0.008615628322752932,1.0,3.0,0.3206501103324144,0.0013080910267387375,
2000-09-25,0.715966495047011,0.5151013985266178,0.008467533699449529,0.008460594125076427,1.0,3.0,0.3176483189338609,0.006154403389127157,
2000-09-26,0.9860395809636378,0.12462174410678672,0.008504510550985804,0.008514992148059152,1.0,3.0,0.318694125463326,0.0036569089182619157,
2000-09-27,0.6001173401093163,0.4487273106508498,0.008308326420718003,0.008439924147754923,1.0,3.0,0.32220805055674134,0.005279624823193952,
2000-09-28,0.7120685857647302,0.05908375703668933,0.008536132695520537,0.008494344992147537,1.0,3.0,0.3249521346626641,0.002388233628451178,
2000-09-29,0.8456232454457226,0.9823235060091401,0.008519041676856772,0.008415255621879307,1.0,3.0,0.32647765397693906,0.010480010659035324,
2000-10-02,0.2613763366468642,0.5220126522791594,0.008576582748222079,0.00816803669453394,1.0,3.0,0.3199878081971565,0.005029481509887857,
2000-10-03,0.7369996483644079,0.5998330046252074,0.008674194439641948,0.008221967092588763,1.0,3.0,0.31801693419245813,0.006725923719637669,
2000-10-04,0.9224532017990125,0.08384577446107366,0.008652589454642852,0.008390979120798045,1.0,3.0,0.317510522207432,0.003202325591044361,
2000-10-05,0.925107849713132,0.4970253660226909,0.008747472446798079,0.008272396894022965,1.0,3.0,0.31902581107250866,0.0065140988442835175,
2000-10-06,0.9292340461149354,0.029214231081925,0.008754693938165232,0.008345929233448814,1.0,3.0,0.3206666669621741,0.00282448364774242,
2000-10-09,0.04920975633489988,0.3423419331144859,0.008669289153544877,0.008329599184890233,1.0,3.0,0.3222822002019062,0.0028867378559324732,
2000-10-10,0.991852047499383,0.05785964440030311,0.008417281230128557,0.008467042562685994,1.0,3.0,0.3180565523417939,0.003237161992931429,
2000-10-11,0.4754702974795174,0.2842012499684007,0.008270572293562687,0.008405435008121145,1.0,3.0,0.32209793773044454,0.003568976010210137,
2000-10-12,0.32222295235194676,0.11388013104685935,0.008249288329248303,0.008554310504505537,1.0,3.0,0.32123440802553943,0.0017833288408337293,
2000-10-13,0.688316959743038,0.9724043995172816,0.00821565833171942,0.008482073744678614,1.0,3.0,0.31799169339893646,0.009840332686494646,
2000-10-16,0.7266399290352143,0.46625148473786127,0.008236632222094874,0.008323586037847212,1.0,3.0,0.3154529082605647,0.005671115952991057,
2000-10-17,0.9044029202729448,0.09041975662214607,0.008346259768418676,0.008323501023545232,1.0,3.0,0.3157173897865183,0.0030621279120224146,
2000-10-18,0.31521503084409075,0.23392680861448523,0.008414550556159339,0.008280658535488521,1.0,3.0,0.3200918000213364,0.0026748008605747067,
2000-10-19,0.5054780858742878,0.496446718955492,0.008336741880716607,0.008252576801996796,1.0,3.0,0.31883337528956596,0.005309070824312859,
2000-10-20,0.7040901537436091,0.41553170749163315,0.008456696564310305,0.008431403399365479,1.0,3.0,0.31544827260666,0.005151531087154591,
2000-10-23,0.645120698546058,0.4767913148202255,0.008457444778601124,0.008573614001458434,1.0,3.0,0.31458447680327434,0.00552528145174758,
2000-10-24,0.9893952402235522,0.6853263852128721,0.00885676974576658,0.008758471914969162,1.0,3.0,0.3203770291468084,0.008177600599142142,
2000-10-25,0.9606264182681814,0.1974370303809594,0.008824297919978736,0.008800396659236957,1.0,3.0,0.31484553791977243,0.0043878155685086575,
2000-10-26,0.9156749240618217,0.12367145517613698,0.008948086605477816,0.008916060610044182,1.0,3.0,0.32137114935954475,0.0035720050891152252,
2000-10-27,0.1610098362434006,0.49022416845961236,0.008873765449484589,0.00881049211801202,1.0,3.0,0.323288703350679,0.00467702204562372,
2000-10-30,0.25456213921211024,0.5254388569695142,0.00868791366248911,0.008923457773527753,1.0,3.0,0.3273201862257536,0.005220158676128177,
2000-10-31,0.2248483940902991,0.724007090259438,0.008577397346451122,0.009137841932236945,1.0,3.0,0.32570328097702,0.006983508255986633,
2000-11-01,0.7475813807971764,0.051619221872775345,0.008398573179860206,0.009150782452219291,1.0,3.0,0.32831061757023494,0.0025493992508627307,
2000-11-02,0.5180360223218375,0.6688812511018265,0.008479373118092649,0.008975972272704904,1.0,3.0,0.33102135999939086,0.0074569597309064265,
2000-11-03,0.46874535085467284,0.8497249306732914,0.00855377756741637,0.009011784006216859,1.0,3.0,0.3294630414332594,0.008889905995863454,
2000-11-06,0.6739470580545329,0.43735545235391526,0.008532409868531543,0.008797147194538897,1.0,3.0,0.3314194890985435,0.005794876622023734,
2000-11-07,0.8837611441655583,0.7563797969525129,0.008576092926452396,0.008963869705150139,1.0,3.0,0.33393155678479813,0.009114886218244782,
2000-11-08,0.5404564671605755,0.837436486410459,0.008643866179542388,0.008997725425384425,1.0,3.0,0.3354753499264127,0.009067917948390979,
2000-11-09,0.01228220897313581,0.15853077500949742,0.009010652100906954,0.008842509639794237,1.0,3.0,0.3325935219316675,0.0014711986067983973,
2000-11-10,0.6637756038128154,0.04928589835030617,0.008679585132276046,0.008830908743005236,1.0,3.0,0.32477334698403953,0.0024241026072817475,
2000-11-13,0.1429872179860041,0.15939497323300122,0.008772246057295069,0.0087155808714922,1.0,3.0,0.32690437847035264,0.0017745216596030402,
2000-11-14,0.9027208621353213,0.25723194257255155,0.008656127950595113,0.008679566348260071,1.0,3.0,0.3252804903018441,0.004787405736855377,
2000-11-15,0.9603928947662713,0.9379106231785674,0.008733578914497489,0.008748695401009553,1.0,3.0,0.3297389909628147,0.010648140195931459,
2000-11-16,0.176760319014708,0.3007089309786517,0.008717528952968255,0.008488222006923049,1.0,3.0,0.32169938427482875,0.0031114773684861523,
2000-11-17,0.0818117715100165,0.4085422683447023,0.008499574279559588,0.008579745494337376,1.0,3.0,0.32121107088268436,0.0035761998061671026,
2000-11-20,0.4796676977392469,0.39787519307924335,0.008298044528501743,0.008784281491693798,1.0,3.0,0.31772600365943443,0.004599092054300586,
2000-11-21,0.720798465985937,0.9411631309376547,0.008340148467170327,0.00893882781255541,1.0,3.0,0.31976655907405194,0.00978073221727392,
2000-11-22,0.4290714621270889,0.27530791659196263,0.008410147157930694,0.00874025133695623,1.0,3.0,0.3207553969416279,0.003505060344139387,
2000-11-23,0.06302219167848677,0.057609634749722805,0.008390647436241086,0.008724893893240278,1.0,3.0,0.3203635390066779,0.0006545315280934309,
2000-11-24,0.5994304384802592,0.23094136238843166,0.008260859850863543,0.008669773346115042,1.0,3.0,0.3125789442155771,0.003547842343962846,
2000-11-27,0.29083106102924083,0.4844569153016518,0.00826089377792937,0.008630051027892452,1.0,3.0,0.31273254981481824,0.004689593639901049,
2000-11-28,0.3480804228854749,0.3550616980361462,0.008197328498439871,0.008785274866984943,1.0,3.0,0.3119049850186376,0.003774074273178744,
2000-11-29,0.58215369334898,0.0032277049554489956,0.008235329815398243,0.009234909449860476,1.0,3.0,0.31540634373621984,0.0015149767483425805,
2000-11-30,0.6373704007482727,0.4516284618047618,0.008331367458359834,0.009027105634090322,1.0,3.0,0.31473701102985807,0.005601994935991053,
2000-12-01,0.046467746256692366,0.8904559989501757,0.008359317309094312,0.009083774270560643,1.0,3.0,0.3155416431044043,0.007711642484517638,
2000-12-04,0.24650332696807942,0.016538017303562746,0.008233544248186214,0.00888684327266686,1.0,3.0,0.31911314490035453,0.0007924141672468386,
2000-12-05,0.14866802125292078,0.24124346158653442,0.008313847838192553,0.008702783966738046,1.0,3.0,0.3172004882652722,0.0024430482994093976,
2000-12-06,0.3375795839719775,0.5431405871012638,0.008357104975884317,0.008848627530743641,1.0,3.0,0.31165524044184834,0.005388313519360705,
2000-12-07,0.9363640725395085,0.994544534047393,0.00856838688303868,0.008828590524636899,1.0,3.0,0.3128251996484446,0.01066682298530436,
2000-12-08,0.9604259435683609,0.2183915559382873,0.008629803838786271,0.008573784852987614,1.0,3.0,0.3028160264217231,0.004383797808403598,
2000-12-11,0.9315990201849987,0.12854730794596136,0.008397795703269945,0.00854560568728217,1.0,3.0,0.30556060763393206,0.003435728737906484,
2000-12-12,0.9179205948120064,0.2803637454777367,0.008265385507483269,0.008556428187601174,1.0,3.0,0.3100717732140241,0.004551674714459355,
2000-12-13,0.5071142545104567,0.6854395660074089,0.008136942080006829,0.008921656851483451,1.0,3.0,0.31316214728699865,0.006755297473226986,
2000-12-14,0.3017669637670518,0.7446926376268438,0.008172462665077204,0.008826852579003428,1.0,3.0,0.31366267306077145,0.0070108038394212195,
2000-12-15,0.09126276333929007,0.16432261277077698,0.008267173463097825,0.008839966475247108,1.0,3.0,0.31225231008206566,0.0015988001102653737,
2000-12-18,0.39297708873253934,0.13882931954949773,0.008117564826161418,0.008797248399608886,1.0,3.0,0.3106224069668308,0.0021640800451036292,
2000-12-19,0.5776403427830058,0.22472565263632927,0.008102271969314671,0.008696710617924453,1.0,3.0,0.3098889963188398,0.0032987898003462345,
2000-12-20,0.1897262748682701,0.1700877206365069,0.008135583447979123,0.008648733363343916,1.0,3.0,0.310180311412564,0.001851532502852517,
2000-12-21,0.36046874143637575,0.5363437795510225,0.008053591142433411,0.008580114480840376,1.0,3.0,0.3087677043627476,0.005226137043839167,
2000-12-22,0.095239436796698,0.41988253715072066,0.008293654628943055,0.008653976482998444,1.0,3.0,0.3120659057099619,0.0035739677125701573,
2000-12-25,0.9416434591949143,0.8164057174102666,0.008395703628850483,0.008710651742782707,1.0,3.0,0.30946641272310704,0.009051513184555002,
2000-12-26,0.5527649478211323,0.46139895496793937,0.008368470525060366,0.008625481456137223,1.0,3.0,0.3021091293796337,0.005167503430988561,
2000-12-27,0.22184708082559768,0.24268802408591428,0.008470124510930942,0.008628824185721065,1.0,3.0,0.3014134734775081,0.0024580879440456354,
2000-12-28,0.2950248419979842,0.6391464971040576,0.00845214754662965,0.008600337279261887,1.0,3.0,0.2999906595751502,0.005740162015278258,
2000-12-29,0.1168260089148001,0.9734974063648304,0.008487340655150801,0.008654949079491414,1.0,3.0,0.2989884109683177,0.007831150802581247,
2001-01-01,0.5229865901342987,0.8439239428139534,0.008434619983202486,0.008472863055961127,1.0,3.0,0.301353938254266,0.007878679975792469,
2001-01-02,0.6333463302148017,0.15583211135321484,0.008433937251293112,0.008347803912534675,1.0,3.0,0.30134709811759297,0.002803516188919582,
2001-01-03,0.2893121344613798,0.1870999439739519,0.008400621295735959,0.008450811924745623,1.0,3.0,0.30231432909534217,0.0021472973612844514,
2001-01-04,0.6773393402777343,0.08445127245165773,0.008419565586197796,0.008385384687586353,1.0,3.0,0.3015622015429343,0.002367458805515239,
2001-01-05,0.9836946675965228,0.3954650707080696,0.008578987466582366,0.00839312020471447,1.0,3.0,0.306244606746962,0.005497678573068007,
2001-01-08,0.27659465247717807,0.3771276233797126,0.008267592187849285,0.008616959849418775,1.0,3.0,0.3073154245258441,0.0036347359245013458,
2001-01-09,0.4839204315750286,0.1732961550631723,0.008457460183202804,0.008688543442972815,1.0,3.0,0.30947260388227643,0.0026062544722235967,
2001-01-10,0.039728862673249266,0.2968785792256621,0.0085032033281537,0.008781311629514272,1.0,3.0,0.3076820246269925,0.0024987847259324756,
2001-01-11,0.9944323722730214,0.49535078569519264,0.008414248501214137,0.008845842780152775,1.0,3.0,0.30851570809741813,0.006616809475356719,
2001-01-12,0.26660979472478596,0.2866533781098539,0.008313904443881226,0.008867953801106183,1.0,3.0,0.30590693666076024,0.003039001036576067,
2001-01-15,0.040435327612929006,0.9031042417408154,0.008568488316650226,0.009251031673952215,1.0,3.0,0.3113466987916933,0.007452576841175752,
2001-01-16,0.10562415307019901,0.28490878677528264,0.008459852498020299,0.008911051660753027,1.0,3.0,0.3178204591985773,0.0027436306838046366,
2001-01-17,0.5272598876358398,0.22746210045949344,0.008479285642720193,0.008889435400988306,1.0,3.0,0.3166917765310898,0.003350247309695513,
2001-01-18,0.031001413577894654,0.1359970876241342,0.008472692383717484,0.00884601711525454,1.0,3.0,0.317102859468096,0.0012318302446165915,
2001-01-19,0.3452344700035743,0.333400868747857,0.008376533295926764,0.009167656466206108,1.0,3.0,0.3183988990935611,0.0037332122753369994,
2001-01-22,0.6213973964398224,0.8133251102211829,0.008368928240147783,0.009181947645761664,1.0,3.0,0.31826914075490625,0.008779534936657833,
2001-01-23,0.4661078523797366,0.27949009635396516,0.008485511367023241,0.009096620085842562,1.0,3.0,0.319588937547045,0.0036917990107309326,
2001-01-24,0.10759412860364903,0.7999250165646191,0.008515293214288592,0.009117937732354127,1.0,3.0,0.31888226602783826,0.007268357873579476,
2001-01-25,0.6121983453018771,0.8168577185863839,0.008414912003877527,0.00891259048850831,1.0,3.0,0.32216091616196935,0.008787509351618785,
2001-01-26,0.38716863705192983,0.4537004222056049,0.008387927024316656,0.008711342711559824,1.0,3.0,0.32034861121857194,0.004957711212237072,
2001-01-29,0.6813733700864424,0.4701448001974031,0.008409470682896021,0.008952694622746032,1.0,3.0,0.3186622434749203,0.005766943742579866,
2001-01-30,0.44911936877339287,0.596370505528975,0.008386937084861058,0.008951453610268598,1.0,3.0,0.31852311218260343,0.006307672216090211,
2001-01-31,0.1656287061222449,0.513211217873101,0.008567668949429197,0.009213855208163075,1.0,3.0,0.3133693431875952,0.004832338586309407,
2001-02-01,0.5252702494018787,0.776293912950673,0.008521658024540916,0.0094798901962969,1.0,3.0,0.31616616528042746,0.00813454192198101,
2001-02-02,0.8967494383159439,0.5115356751657012,0.008621890363306938,0.009375206748045388,1.0,3.0,0.3172027502483403,0.007015631770667651,
2001-02-05,0.04996795574545154,0.10919787862719887,0.008410935960744407,0.009382555046762898,1.0,3.0,0.31625389641996476,0.0011108682345262696,
